exp_name,immersion_score,period_of_day,duration,interrupt,voice
510,47,2,70,0,-3
510,57,3,45,0,-3
510,52,2,50,0,-3
510,65,3,42,0,-3
510,67,4,40,0,-3
510,64,2,65,0,-3
510,68,3,100,0,-3
510,67,4,45,0,1
510,45,2,15,0,1
510,45,3,25,1,1
510,58,4,25,0,1
510,51,2,20,0,1
510,60,3,60,0,1
510,61,3,25,1,4
510,72,4,30,0,2
510,70,1,40,1,4
510,57,2,10,1,2
510,74,2,80,0,1
510,58,3,10,0,2
509,53,4,24,0,-3
509,55,1,30,0,-3
509,59,3,30,0,-3
509,51,2,11,0,-3
509,48,4,11,0,-3
509,74,3,31,0,-3
509,54,3,20,0,-3
509,65,4,46,1,2
509,57,3,43,0,2
509,60,4,44,0,2
509,89,4,60,0,2
509,73,4,210,2,2
509,68,4,110,0,2
509,66,4,83,0,2
508,71,3,44,0,-3
508,60,4,32,0,-3
508,67,2,110,0,-3
508,68,3,70,0,-3
508,66,4,100,0,-3
508,69,3,45,0,-3
508,64,1,77,0,-3
508,67,1,100,0,-3
508,71,3,60,0,-3
508,66,2,20,0,1
508,69,2,7,0,1
508,73,2,31,0,1
508,71,3,20,0,1
508,67,1,12,0,1
508,64,2,37,2,3
508,66,1,19,0,1
508,72,3,57,0,1
508,68,3,20,0,2
508,69,1,15,0,1
508,70,3,14,0,1
511,45,2,22,0,2
511,45,2,12,0,1
511,41,3,22,0,1
511,55,4,36,0,1
511,53,3,27,1,1
511,53,3,23,0,1
511,53,4,38,0,1
511,46,3,16,0,2
511,54,4,25,0,1
511,56,1,6,0,2
511,52,4,41,0,1
511,50,2,25,0,1
511,53,4,40,0,1
511,40,3,21,2,1
511,42,3,15,0,1
511,45,3,10,0,1
512,58,4,63,3,1
512,62,1,60,0,1
512,58,3,40,0,1
512,62,2,20,0,1
512,52,3,8,0,1
512,57,3,19,0,1
512,60,4,50,2,1
512,60,1,23,1,1
512,59,2,79,0,1
512,62,2,107,3,3
512,58,1,6,0,1
512,60,2,11,0,1
512,60,2,18,0,1
512,59,3,18,0,1
512,63,3,66,0,1
512,59,1,26,0,1
512,54,2,10,0,1
512,63,3,65,0,1
512,60,3,37,0,1
513,55,3,61,0,1
513,61,4,40,1,1
513,69,1,60,0,1
513,67,4,76,0,1
513,55,2,23,0,1
513,51,3,22,0,3
513,73,4,104,0,1
513,61,2,77,0,1
513,67,2,103,0,3
513,53,1,20,0,1
513,58,4,36,0,1
513,37,2,10,0,3
513,53,2,12,0,3
513,55,2,7,0,3
513,45,2,14,0,3
513,67,3,60,0,1
513,59,1,20,0,3
515,50,2,61,1,2
515,48,3,51,0,2
515,49,2,59,0,2
515,53,3,64,0,2
515,46,2,23,1,2
515,52,4,37,1,2
515,51,2,46,0,2
515,49,3,22,0,2
515,58,4,41,0,2
515,51,3,26,0,2
515,55,3,80,0,2
515,49,3,28,0,2
515,54,3,94,1,2
515,53,3,90,0,2
515,43,2,23,0,2
516,46,4,60,0,2
516,49,3,63,0,2
516,48,3,60,0,2
516,47,3,38,0,2
516,47,3,35,0,3
516,44,2,35,0,2
516,55,4,106,0,1
516,45,1,65,0,3
516,45,4,18,0,2
516,45,3,73,0,2
516,43,4,31,0,3
516,47,2,36,0,2
517,49,2,20,0,1
517,59,2,80,1,1
517,58,2,60,1,1
517,49,2,60,1,1
517,63,3,82,1,1
517,53,3,30,0,2
517,47,1,41,0,2
517,58,3,51,0,2
517,43,3,75,0,2
517,49,2,31,0,1
517,56,3,16,0,2
517,52,4,10,0,2
517,47,3,18,0,2
517,41,4,13,0,3
517,48,3,17,0,2
517,51,4,13,0,3
518,50,4,15,0,1
518,52,1,31,2,1
518,44,2,3,0,1
518,47,2,16,1,1
518,52,3,32,0,2
518,49,3,14,0,1
518,52,4,17,0,1
518,59,1,12,0,1
518,62,2,15,0,1
518,76,3,28,1,1
518,67,4,64,0,1
518,61,1,8,0,1
518,64,2,21,0,1
518,65,3,19,0,2
518,65,3,19,0,2
518,63,3,15,0,1
518,65,4,24,0,1
518,54,1,6,0,2
518,64,1,3,0,2
518,66,2,21,0,1
518,54,3,11,0,1
518,64,4,37,2,1
518,66,1,44,0,2
518,71,2,24,1,1
518,50,2,14,0,1
518,63,1,23,0,1
518,74,2,21,0,1
519,55,1,6,0,3
519,57,1,4,0,3
519,57,4,10,0,3
519,54,4,18,0,3
519,62,3,89,1,3
519,55,3,12,0,3
519,51,1,15,0,3
519,60,3,56,0,3
519,51,3,32,0,3
519,53,3,31,0,3
519,68,2,122,0,2
519,56,3,20,0,2
519,54,3,10,0,2
519,41,4,16,0,3
519,44,4,18,0,3
519,55,1,50,0,3
519,47,2,44,0,2
519,58,2,25,0,2
519,49,3,33,0,1
519,58,3,16,0,1
520,49,4,26,0,2
520,59,4,30,0,3
520,64,2,88,1,1
520,63,3,59,3,2
520,71,4,43,0,2
520,60,2,80,2,1
520,67,1,70,0,1
520,61,4,120,2,1
520,67,2,32,0,1
520,63,3,110,0,2
520,67,4,40,0,3
520,66,4,60,1,1
520,63,1,70,0,1
521,44,3,30,0,2
521,54,3,96,4,2
521,58,1,59,1,1
521,53,3,14,0,3
521,37,1,16,0,2
521,38,2,36,0,2
521,50,1,51,2,2
521,51,4,20,0,3
521,76,2,77,1,1
521,42,4,28,0,1
521,49,2,26,0,1
521,52,2,89,3,1
521,75,3,47,0,1
521,56,3,21,0,2
521,76,1,31,0,1
521,54,2,65,4,1
830,65,2,37,2,1
830,66,1,16,0,1
830,63,3,51,1,2
830,65,2,28,0,3
830,55,1,7,0,3
830,62,2,56,2,3
830,65,2,23,2,3
830,66,2,34,0,3
830,63,2,67,1,3
830,68,4,30,0,2
831,49,1,5,0,1
831,55,3,30,0,2
831,47,4,11,0,2
831,60,1,92,0,2
831,52,3,23,0,2
831,48,3,30,0,2
831,43,4,50,0,2
831,48,3,61,0,2
831,60,1,13,0,2
831,56,4,12,0,2
831,59,4,54,0,1
831,57,4,42,0,1
831,54,4,52,0,1
831,54,4,101,0,1
833,43,3,86,0,2
833,67,2,93,0,2
833,59,2,41,0,2
833,39,3,63,0,1
833,59,1,76,0,1
833,40,1,22,0,2
833,62,1,44,0,1
833,67,2,62,0,1
833,62,3,20,0,2
833,78,3,24,0,1
833,61,3,21,0,1
833,74,3,30,0,1
832,52,2,40,0,1
832,54,2,50,0,1
832,60,3,60,0,1
832,60,1,75,0,1
832,47,3,50,0,1
832,56,2,30,0,1
832,59,2,100,0,1
832,56,3,45,0,2
832,56,3,38,0,2
832,60,3,23,0,2
832,56,2,13,0,2
832,59,2,90,0,2
832,59,2,25,1,2
832,55,3,55,0,2
832,56,3,40,0,2
832,56,4,20,0,2
832,58,2,45,0,2
