session ,score0,score1,score2,score3
512_1122,3,3,4,4
,4,4,4,4
,4,4,3,4
,4,4,4,4
,4,3,3,4
513_1125,2,2,1,2
,3,3,1,3
,4,3,3,4
,4,4,3,4
,4,4,3,4
517_1128,2,2,2,2
,2,2,2,2
,3,4,3,4
,4,3,3,4
,4,3,3,4
511_1130,2,3,2,3
,3,4,4,3
,4,4,4,3
,4,4,4,3
,4,5,4,3
,4,5,4,3
830_1202,4,4,4,4
,4,4,4,4
,4,4,3,4
,3,3,3,4
,4,4,4,4
,4,4,4,4
,4,4,3,4
518_1204,3,3,2,2
,4,4,2,4
831_1204,3,4,2,3
,3,3,3,3
,3,4,4,4
,4,4,4,4
,4,4,4,4
519_1207,2,2,1,2
,4,3,2,4
,4,4,3,4
,3,4,2,3
,3,3,2,3
,2,4,2,3
521_1207,3,3,2,3
,4,4,2,4
,4,3,2,4
,2,1,2,3
,4,3,3,4
,4,4,3,4
835_1208,3,2,3,3
,3,4,3,3
,3,4,3,4
,3,4,4,4
520_1209,3,2,2,3
,3,3,3,4
,5,5,5,5
,4,4,4,4
,4,4,4,4
,5,5,4,5
832_1211,,,,
832_0103,4,4,3,4
,4,4,3,4
,4,4,3,4
,4,4,3,4
,4,4,3,4
524_0104,2,2,2,2
,3,3,2,3
,4,4,3,4
,3,3,2,3
,4,3,2,3
,4,4,2,3
836_0105,2,1,1,2
,3,3,3,3
,4,4,3,4
,4,4,3,4
,4,4,3,4
,4,4,3,4
838_0105,5,5,5,5
,5,5,5,5
,5,4,4,5
,5,4,5,5
,4,4,5,5
839_0106,3,3,3,3
,3,3,3,3
,2,3,3,3
,3,4,3,3
,3,3,2,2
,2,3,2,2
837_0106,1,1,1,1
,4,4,1,4
,4,4,1,4
,4,4,1,4
,4,4,4,4
,1,3,1,1
841_0109,3,3,2,3
,3,3,2,4
,4,4,4,4
,4,4,4,4
,4,4,4,4
842_0110,3,3,1,4
,3,4,2,3
,3,3,4,4
,3,3,3,4
,4,4,2,4
844_0301,4,4,3,4
,4,4,3,3
,4,4,3,3
,4,4,3,4
,4,4,3,3
845_0303,3,3,2,3
,2,4,2,3
,3,4,2,4
,2,1,1,2
,3,4,2,3
846_0303,4,4,3,4
,4,4,4,4
,3,4,3,3
,2,2,2,2
,4,4,3,3
843_0305,3,3,2,2
,4,4,2,3
,2,2,2,2
,2,2,2,2
849_0307,4,3,1,3
,2,3,2,2
,3,1,2,3
,4,3,3,3
847_0308,4,4,4,3
,4,4,5,4
,4,4,4,3
,4,4,3,3
850_0310,2,3,2,2
,4,4,2,4
,2,3,2,2
,1,2,2,2
848_0311,4,4,2,3
,4,4,2,4
,4,4,1,4
,2,1,2,2
851_0312,4,4,3,5
,5,5,5,4
,5,5,4,5
,3,3,4,4
,4,4,4,3
